field,example,convert,unit,template
demographic.country_of_residence_at_enrollment,United States,,,
demographic.race,white,,,
diagnoses[].age_at_diagnosis,22279.0,days_to_years,years,
diagnoses[].ajcc_pathologic_m,M0,,,
diagnoses[].ajcc_pathologic_n,N0 (mol+),,,
diagnoses[].ajcc_pathologic_t,T1c,,,
diagnoses[].diagnosis_is_primary_disease,true,,,
diagnoses[].laterality,Right,,,
diagnoses[].metastasis_at_diagnosis,No Metastasis,,,
diagnoses[].method_of_diagnosis,Surgical Resection,,,
diagnoses[].morphology,8500/3,,,
diagnoses[].pathology_details[].lymph_nodes_positive,0.0,int,count,
diagnoses[].pathology_details[].lymph_nodes_tested,11.0,int,count,
diagnoses[].primary_diagnosis,"Infiltrating duct carcinoma, NOS",,,
diagnoses[].prior_treatment,No,,,
diagnoses[].sites_of_involvement,"[""Breast, Right Upper Outer""]",,,
diagnoses[].tissue_or_organ_of_origin,"Breast, NOS",,,
diagnoses[].treatments[].clinical_trial_indicator,No,,,
diagnoses[].treatments[].initial_disease_status,Initial Diagnosis,,,
diagnoses[].treatments[].margin_status,Uninvolved,,,
diagnoses[].treatments[].number_of_fractions,54.0,int,count,
diagnoses[].treatments[].prescribed_dose,1.0,,,
diagnoses[].treatments[].prescribed_dose_units,mg/day,,,
diagnoses[].treatments[].route_of_administration,"[""Oral""]",,,
diagnoses[].treatments[].therapeutic_agents,Anastrozole,,,
diagnoses[].treatments[].treatment_anatomic_sites,"[""Breast""]",,,
diagnoses[].treatments[].treatment_dose,1.0,,,
diagnoses[].treatments[].treatment_dose_units,mg/day,,,
diagnoses[].treatments[].treatment_intent_type,Adjuvant,,,
diagnoses[].treatments[].treatment_type,Hormone Therapy,,,
follow_ups[].disease_response,TF-Tumor Free,,,
follow_ups[].molecular_tests[].gene_symbol,ERBB2,,,
follow_ups[].molecular_tests[].molecular_analysis_method,IHC,,,
follow_ups[].molecular_tests[].staining_intensity_value,2+,,,
follow_ups[].molecular_tests[].test_result,Negative,,,
follow_ups[].molecular_tests[].test_value_range,70-79%,,,
follow_ups[].other_clinical_attributes[].menopause_status,Postmenopausal,,,
follow_ups[].timepoint_category,Follow-up,,,
lost_to_followup,No,,,
