field,example,convert,unit,template
demographic.ethnicity,not hispanic or latino,,,
demographic.gender,female,,,
demographic.race,white,,,
demographic.sex_at_birth,female,,,
diagnoses[].age_at_diagnosis,17121.0,days_to_years,years,
diagnoses[].ajcc_clinical_m,MX,,,
diagnoses[].ajcc_pathologic_m,M0,,,
diagnoses[].ajcc_pathologic_n,N0,,,
diagnoses[].ajcc_pathologic_t,T1b,,,
diagnoses[].diagnosis_is_primary_disease,true,,,
diagnoses[].laterality,Right,,,
diagnoses[].morphology,8317/3,,,
diagnoses[].pathology_details[].lymph_nodes_positive,0.0,int,count,
diagnoses[].pathology_details[].lymph_nodes_tested,3.0,int,count,
diagnoses[].pathology_details[].sarcomatoid_present,No,,,
diagnoses[].primary_diagnosis,"Renal cell carcinoma, chromophobe type",,,
diagnoses[].prior_malignancy,no,,,
diagnoses[].prior_treatment,No,,,
diagnoses[].tissue_or_organ_of_origin,"Kidney, NOS",,,
diagnoses[].treatments[].treatment_type,"Pharmaceutical Therapy, NOS",,,
exposures[].tobacco_smoking_status,Lifelong Non-Smoker,,,
follow_ups[].disease_response,TF-Tumor Free,,,
follow_ups[].molecular_tests[].laboratory_test,Calcium,,,
follow_ups[].molecular_tests[].test_result,Elevated,,,
follow_ups[].timepoint_category,Follow-up,,,
lost_to_followup,No,,,
