field,example,convert,unit,template
demographic.ethnicity,not hispanic or latino,,,
demographic.gender,male,,,
demographic.race,white,,,
demographic.sex_at_birth,male,,,
diagnoses[].age_at_diagnosis,19677.0,days_to_years,years,
diagnoses[].ajcc_pathologic_m,M0,,,
diagnoses[].ajcc_pathologic_n,N0,,,
diagnoses[].ajcc_pathologic_t,T1b,,,
diagnoses[].diagnosis_is_primary_disease,false,,,
diagnoses[].laterality,Left,,,
diagnoses[].morphology,8310/3,,,
diagnoses[].primary_diagnosis,"Clear cell adenocarcinoma, NOS",,,
diagnoses[].prior_malignancy,no,,,
diagnoses[].prior_treatment,No,,,
diagnoses[].tissue_or_organ_of_origin,"Head, face or neck, NOS",,,
diagnoses[].treatments[].treatment_intent_type,Adjuvant,,,
diagnoses[].treatments[].treatment_type,"Pharmaceutical Therapy, NOS",,,
diagnoses[].tumor_grade,G3,,,
follow_ups[].disease_response,TF-Tumor Free,,,
follow_ups[].molecular_tests[].laboratory_test,Calcium,,,
follow_ups[].molecular_tests[].test_result,Normal,,,
follow_ups[].timepoint_category,Follow-up,,,
