field,example,convert,unit,template
demographic.country_of_residence_at_enrollment,Canada,,,
demographic.gender,male,,,
demographic.race,white,,,
demographic.sex_at_birth,male,,,
diagnoses[].age_at_diagnosis,18841.0,days_to_years,years,
diagnoses[].ajcc_clinical_m,M0,,,
diagnoses[].ajcc_clinical_n,N0,,,
diagnoses[].ajcc_clinical_stage,Stage I,,,
diagnoses[].ajcc_clinical_t,T1a,,,
diagnoses[].ajcc_pathologic_m,M0,,,
diagnoses[].ajcc_pathologic_n,NX,,,
diagnoses[].ajcc_pathologic_t,T1a,,,
diagnoses[].diagnosis_is_primary_disease,true,,,
diagnoses[].laterality,Left,,,
diagnoses[].morphology,8260/3,,,
diagnoses[].pathology_details[].prcc_type,Type 2,,,
diagnoses[].primary_diagnosis,"Papillary adenocarcinoma, NOS",,,
diagnoses[].prior_malignancy,no,,,
diagnoses[].prior_treatment,No,,,
diagnoses[].synchronous_malignancy,No,,,
diagnoses[].tissue_or_organ_of_origin,"Kidney, NOS",,,
diagnoses[].treatments[].treatment_type,"Pharmaceutical Therapy, NOS",,,
exposures[].tobacco_smoking_status,Current Reformed Smoker for < or = 15 yrs,,,
follow_ups[].disease_response,TF-Tumor Free,,,
follow_ups[].ecog_performance_status,0.0,int,,
follow_ups[].molecular_tests[].laboratory_test,Hemoglobin,,,
follow_ups[].molecular_tests[].test_result,Elevated,,,
follow_ups[].other_clinical_attributes[].bmi,25.1,,,
follow_ups[].other_clinical_attributes[].height,183.0,int,cm,
follow_ups[].other_clinical_attributes[].weight,84.0,int,kg,
follow_ups[].timepoint_category,Follow-up,,,
lost_to_followup,No,,,
