field,example,convert,unit,template
demographic.country_of_residence_at_enrollment,United States,,,
demographic.race,white,,,
diagnoses[].age_at_diagnosis,24845.0,days_to_years,years,
diagnoses[].ajcc_clinical_t,T1c,,,
diagnoses[].ajcc_pathologic_n,N1,,,
diagnoses[].ajcc_pathologic_t,T3a,,,
diagnoses[].diagnosis_is_primary_disease,true,,,
diagnoses[].gleason_score,9.0,int,,
diagnoses[].laterality,Left,,,
diagnoses[].morphology,8140/3,,,
diagnoses[].pathology_details[].lymph_nodes_positive,1.0,int,count,
diagnoses[].pathology_details[].lymph_nodes_tested,13.0,int,count,
diagnoses[].pathology_details[].tumor_level_prostate,"[""Apex"", ""Middle"", ""Base""]",,,
diagnoses[].pathology_details[].zone_of_origin_prostate,Overlapping/multiple zones,,,
diagnoses[].primary_diagnosis,"Adenocarcinoma, NOS",,,
diagnoses[].primary_gleason_grade,Pattern 4,,,
diagnoses[].prior_malignancy,no,,,
diagnoses[].prior_treatment,No,,,
diagnoses[].residual_disease,R0,,,
diagnoses[].secondary_gleason_grade,Pattern 5,,,
diagnoses[].tissue_or_organ_of_origin,Prostate gland,,,
diagnoses[].treatments[].treatment_type,"Pharmaceutical Therapy, NOS",,,
follow_ups[].disease_response,WT-With Tumor,,,
follow_ups[].imaging_findings,No Evidence of Extraprostatic Extension,,,
follow_ups[].imaging_type,"Bone Scan, NOS",,,
follow_ups[].molecular_tests[].test_value,0.3,,,
follow_ups[].timepoint_category,Follow-up,,,
lost_to_followup,No,,,
