field,example,convert,unit,template
demographic.country_of_residence_at_enrollment,Ukraine,,,
demographic.gender,female,,,
demographic.race,white,,,
demographic.sex_at_birth,female,,,
diagnoses[].age_at_diagnosis,30874.0,days_to_years,years,
diagnoses[].ajcc_pathologic_m,M0,,,
diagnoses[].ajcc_pathologic_n,N0,,,
diagnoses[].ajcc_pathologic_t,T2,,,
diagnoses[].diagnosis_is_primary_disease,true,,,
diagnoses[].icd_10_code,C16.1,,,
diagnoses[].morphology,8140/3,,,
diagnoses[].pathology_details[].consistent_pathology_review,Yes,,,
diagnoses[].pathology_details[].lymph_nodes_positive,0.0,int,count,
diagnoses[].pathology_details[].lymph_nodes_tested,15.0,int,count,
diagnoses[].primary_diagnosis,"Adenocarcinoma, NOS",,,
diagnoses[].prior_treatment,No,,,
diagnoses[].residual_disease,R0,,,
diagnoses[].tissue_or_organ_of_origin,Fundus of stomach,,,
diagnoses[].treatments[].therapeutic_agents,Fluorouracil,,,
diagnoses[].treatments[].treatment_anatomic_sites,"[""Distant Site""]",,,
diagnoses[].treatments[].treatment_type,"Pharmaceutical Therapy, NOS",,,
diagnoses[].tumor_grade,G3,,,
follow_ups[].disease_response,TF-Tumor Free,,,
follow_ups[].timepoint_category,Follow-up,,,
lost_to_followup,Yes,,,
