field,example,convert,unit,template
demographic.country_of_residence_at_enrollment,South Korea,,,Country of residence at enrollment is {}.
demographic.ethnicity,not hispanic or latino,,,Ethnicity is {}.
demographic.gender,male,,,Gender is {}.
demographic.race,asian,,,Race is {}.
demographic.sex_at_birth,male,,,Sex at birth is {}.
diagnoses[].age_at_diagnosis,18510.25,days_to_years,years,Age at diagnosis is {} years.
diagnoses[].ajcc_pathologic_m,M0,,,Pathologic M stage is {}.
diagnoses[].ajcc_pathologic_n,N0,,,Pathologic N stage is {}.
diagnoses[].ajcc_pathologic_t,T1,,,Pathologic T stage is {}.
diagnoses[].child_pugh_classification,A,,,Child-Pugh classification is {}.
diagnoses[].diagnosis_is_primary_disease,false,,,The diagnosis is the primary disease: {}.
diagnoses[].ishak_fibrosis_score,6 - Established Cirrhosis,,,Ishak fibrosis score is {}.
diagnoses[].morphology,8170/3,,,Tumor morphology is {}.
diagnoses[].pathology_details[].vascular_invasion_present,No,,,Vascular invasion present is {}.
diagnoses[].pathology_details[].vascular_invasion_type,No Vascular Invasion,,,Vascular invasion type is {}.
diagnoses[].primary_diagnosis,"Hepatocellular carcinoma, NOS",,,Primary diagnosis is {}.
diagnoses[].prior_malignancy,no,,,Prior malignancy is {}.
diagnoses[].prior_treatment,No,,,Prior treatment before diagnosis is {}.
diagnoses[].residual_disease,R0,,,Residual disease is {}.
diagnoses[].tissue_or_organ_of_origin,Liver,,,Tissue or organ of origin is {}.
diagnoses[].treatments[].initial_disease_status,Initial Diagnosis,,,Initial disease status is {}.
diagnoses[].treatments[].treatment_anatomic_sites,"[""Liver""]",,,Treatment anatomic sites are {}.
diagnoses[].treatments[].treatment_type,"Ablation or Embolization, NOS",,,Treatment type is {}.
diagnoses[].tumor_grade,G1,,,Tumor grade is {}.
family_histories[].relative_with_cancer_history,yes,,,Relative with cancer history is {}.
follow_ups[].disease_response,TF-Tumor Free,,,Disease response is {}.
follow_ups[].ecog_performance_status,0.0,int,,ECOG performance status is {}.
follow_ups[].molecular_tests[].blood_test_normal_range_lower,22.5,,,Blood test normal range lower is {}.
follow_ups[].molecular_tests[].blood_test_normal_range_upper,70.63333333333334,,,Blood test normal range upper is {}.
follow_ups[].molecular_tests[].laboratory_test,Albumin,,,Laboratory test is {}.
follow_ups[].molecular_tests[].test_units,Seconds,,,Test units are {}.
follow_ups[].molecular_tests[].test_value,33.1,,,Test value is {}.
follow_ups[].other_clinical_attributes[].bmi,22.2,,,BMI is {}.
follow_ups[].other_clinical_attributes[].height,167.0,int,cm,Height is {} cm.
follow_ups[].other_clinical_attributes[].risk_factors,"[""Hepatitis B Infection""]",,,Risk factors are {}.
follow_ups[].other_clinical_attributes[].timepoint_category,Initial Diagnosis,,,Other clinical attribute timepoint category is {}.
follow_ups[].other_clinical_attributes[].viral_hepatitis_serology_tests,"[""Unknown""]",,,Viral hepatitis serology tests are {}.
follow_ups[].other_clinical_attributes[].weight,62.0,int,kg,Weight is {} kg.
follow_ups[].timepoint_category,Follow-up,,,Follow-up timepoint category is {}.
lost_to_followup,No,,,Lost to follow-up is {}.
